00.00 m: { TP:  0/33, FP:   0/33, TN: 33/33, FN:   0/33, Error Dist:    0.00000, Precision: -1.000, Recall: -1.000 }
00.20 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
00.40 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
00.60 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
00.80 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
01.00 m: { TP:  0/33, FP:   1/33, TN: 32/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
01.20 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
01.40 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
01.60 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
01.80 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
02.00 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
02.20 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
02.40 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
02.60 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
02.80 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
03.00 m: { TP:  0/33, FP:   2/33, TN: 31/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
03.20 m: { TP:  0/33, FP:   3/33, TN: 30/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
03.40 m: { TP:  0/33, FP:   3/33, TN: 30/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
03.60 m: { TP:  0/33, FP:   3/33, TN: 30/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
03.80 m: { TP:  0/33, FP:   3/33, TN: 30/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
04.00 m: { TP:  0/33, FP:   4/33, TN: 29/33, FN:   0/33, Error Dist:    0.00000, Precision:  0.000, Recall: -1.000 }
04.20 m: { TP:  0/33, FP:   4/33, TN: 21/33, FN:   8/33, Error Dist:    0.00000, Precision:  0.000, Recall:  0.000 }
04.40 m: { TP:  3/33, FP:   3/33, TN:  5/33, FN:  22/33, Error Dist:    0.12725, Precision:  0.500, Recall:  0.120 }
04.60 m: { TP: 23/33, FP:   2/33, TN:  0/33, FN:   8/33, Error Dist:    1.15228, Precision:  0.920, Recall:  0.742 }
04.80 m: { TP: 30/33, FP:   2/33, TN:  0/33, FN:   1/33, Error Dist:    1.61265, Precision:  0.938, Recall:  0.968 }
05.00 m: { TP: 30/33, FP:   2/33, TN:  0/33, FN:   1/33, Error Dist:    1.84181, Precision:  0.938, Recall:  0.968 }
05.20 m: { TP: 30/33, FP:   2/33, TN:  0/33, FN:   1/33, Error Dist:    1.90336, Precision:  0.938, Recall:  0.968 }
