s1,s2,s3,s4,fs1,fs2,fs3,fs4,timestamp
,143,,,4.0,141.0,144.0,141.0,1579623591104
144.0,141,143.0,142.0,144.0,141.0,144.0,143.0,1579623591115
144.0,141,143.0,141.0,144.0,141.0,144.0,143.0,1579623591135
4.0,141,,,144.0,141.0,144.0,143.0,1579623591187
144.0,141,144.0,141.0,144.0,141.0,144.0,143.0,1579623591208
144.0,141,144.0,143.0,144.0,141.0,143.0,143.0,1579623591226
144.0,141,144.0,143.0,144.0,141.0,144.0,143.0,1579623591273
144.0,141,143.0,143.0,144.0,141.0,144.0,142.0,1579623591295
144.0,141,143.0,142.0,144.0,141.0,144.0,142.0,1579623591339
144.0,141,143.0,141.0,144.0,141.0,143.0,142.0,1579623591388
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623591434
144.0,141,144.0,142.0,144.0,141.0,143.0,142.0,1579623592747
144.0,141,144.0,143.0,144.0,141.0,143.0,142.0,1579623592943
144.0,141,142.0,142.0,144.0,141.0,143.0,142.0,1579623593169
144.0,141,142.0,142.0,144.0,141.0,143.0,142.0,1579623593390
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623593554
144.0,142,143.0,142.0,144.0,141.0,143.0,142.0,1579623593787
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623593993
144.0,141,142.0,142.0,144.0,141.0,143.0,142.0,1579623594184
144.0,142,145.0,142.0,144.0,141.0,143.0,142.0,1579623594392
144.0,142,143.0,141.0,144.0,141.0,143.0,142.0,1579623594573
144.0,141,144.0,142.0,144.0,141.0,143.0,142.0,1579623594816
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623595013
144.0,141,144.0,142.0,144.0,141.0,144.0,142.0,1579623595202
144.0,141,142.0,142.0,144.0,141.0,143.0,142.0,1579623595407
144.0,141,144.0,142.0,144.0,141.0,143.0,142.0,1579623595620
144.0,141,143.0,141.0,144.0,141.0,143.0,142.0,1579623595798
144.0,141,144.0,142.0,144.0,141.0,143.0,142.0,1579623596017
144.0,141,143.0,143.0,144.0,141.0,143.0,142.0,1579623596218
144.0,142,143.0,143.0,144.0,141.0,143.0,142.0,1579623596427
144.0,142,142.0,143.0,144.0,141.0,143.0,143.0,1579623596743
144.0,141,143.0,143.0,144.0,142.0,143.0,143.0,1579623596805
144.0,142,143.0,142.0,144.0,142.0,143.0,143.0,1579623597011
144.0,142,144.0,142.0,144.0,142.0,143.0,143.0,1579623597212
144.0,141,145.0,144.0,144.0,142.0,143.0,143.0,1579623597413
144.0,142,144.0,143.0,144.0,142.0,143.0,143.0,1579623597618
144.0,141,143.0,143.0,144.0,142.0,143.0,143.0,1579623597846
144.0,142,142.0,143.0,144.0,142.0,143.0,143.0,1579623598061
144.0,142,143.0,143.0,144.0,142.0,143.0,143.0,1579623598235
144.0,142,143.0,143.0,144.0,142.0,143.0,143.0,1579623598431
144.0,142,142.0,142.0,144.0,142.0,143.0,142.0,1579623598624
144.0,142,143.0,142.0,144.0,142.0,143.0,142.0,1579623598857
144.0,141,142.0,142.0,144.0,142.0,143.0,142.0,1579623599064
144.0,142,143.0,142.0,144.0,142.0,143.0,142.0,1579623599258
144.0,142,143.0,142.0,144.0,142.0,143.0,142.0,1579623599440
144.0,142,142.0,142.0,144.0,142.0,143.0,142.0,1579623599653
144.0,141,144.0,142.0,144.0,142.0,143.0,142.0,1579623599858
144.0,142,143.0,142.0,144.0,142.0,143.0,142.0,1579623600053
144.0,142,143.0,143.0,144.0,141.0,143.0,142.0,1579623600316
144.0,141,143.0,145.0,144.0,141.0,143.0,142.0,1579623600467
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623600683
144.0,141,144.0,142.0,144.0,141.0,143.0,142.0,1579623600894
144.0,141,143.0,143.0,144.0,141.0,143.0,142.0,1579623601076
144.0,142,142.0,142.0,144.0,141.0,143.0,142.0,1579623601303
144.0,141,143.0,142.0,144.0,141.0,143.0,142.0,1579623601473
144.0,142,143.0,142.0,144.0,141.0,143.0,142.0,1579623601689
144.0,142,144.0,143.0,144.0,141.0,143.0,142.0,1579623601872
144.0,142,143.0,142.0,144.0,141.0,143.0,142.0,1579623602099
